sp sex index FL RW CL CW BD
O M 14 14.1 10.7 28.7 31.9 13.3 
O M 15 14.2 10.6 28.7 31.7 12.9
O M 16 14.2 10.7 27.8 30.9 12.7
O M 17 14.2 11.3 29.2 32.2 13.5
O M 18 14.6 11.3 29.9 33.5 12.8
O M 19 14.7 11.1 29.0 32.1 13.1
O M 20 15.1 11.4 30.2 33.3 14.0
O M 21 15.1 11.5 30.9 34.0 13.9
O M 22 15.4 11.1 30.2 33.6 13.5
O M 23 15.7 12.2 31.7 34.2 14.2
O M 24 16.2 11.8 32.3 35.3 14.7
O M 25 16.3 11.6 31.6 34.2 14.5
O M 26 17.1 12.6 35.0 38.9 15.7
O M 27 17.4 12.8 36.1 39.5 16.2
O M 28 17.5 12.0 34.4 37.3 15.3
O M 29 17.5 12.7 34.6 38.4 16.1
O M 30 17.8 12.5 36.0 39.8 16.7
O M 31 17.9 12.9 36.9 40.9 16.5
O M 32 18.0 13.4 36.7 41.3 17.1
O M 33 18.2 13.7 38.8 42.7 17.2
O M 34 18.4 13.4 37.9 42.2 17.7
O M 35 18.6 13.4 37.8 41.9 17.3
O M 36 18.6 13.5 36.9 40.2 17.0
O M 37 18.8 13.4 37.2 41.1 17.5
O M 38 18.8 13.8 39.2 43.3 17.9
O M 39 19.4 14.1 39.1 43.2 17.8
O M 40 19.4 14.4 39.8 44.3 17.9
O M 41 20.1 13.7 40.6 44.5 18.0
O M 42 20.6 14.4 42.8 46.5 19.6
O M 43 21.0 15.0 42.9 47.2 19.4
O M 44 21.5 15.5 45.5 49.7 20.9
O M 45 21.6 15.4 45.7 49.7 20.6
O M 46 21.6 14.8 43.4 48.2 20.1
O M 47 21.9 15.7 45.4 51.0 21.1
O M 48 22.1 15.8 44.6 49.6 20.5
O M 49 23.0 16.8 47.2 52.1 21.5
O M 50 23.1 15.7 47.6 52.8 21.6
O F  1 10.7  9.7 21.4 24.0  9.8
O F  2 11.4  9.2 21.7 24.1  9.7
O F  3 12.5 10.0 24.1 27.0 10.9
O F  4 12.6 11.5 25.0 28.1 11.5
O F  5 12.9 11.2 25.8 29.1 11.9
O F  6 14.0 11.9 27.0 31.4 12.6
O F  7 14.0 12.8 28.8 32.4 12.7
O F  8 14.3 12.2 28.1 31.8 12.5
O F  9 14.7 13.2 29.6 33.4 12.9
O F 10 14.9 13.0 30.0 33.7 13.3
O F 11 15.0 12.3 30.1 33.3 14.0
O F 12 15.6 13.5 31.2 35.1 14.1
O F 13 15.6 14.0 31.6 35.3 13.8
O F 14 15.6 14.1 31.0 34.5 13.8
O F 15 15.7 13.6 31.0 34.8 13.8
O F 16 16.1 13.6 31.6 36.0 14.0
O F 17 16.1 13.7 31.4 36.1 13.9
O F 18 16.2 14.0 31.6 35.6 13.7
O F 19 16.7 14.3 32.3 37.0 14.7
O F 20 17.1 14.5 33.1 37.2 14.6
O F 21 17.5 14.3 34.5 39.6 15.6
O F 22 17.5 14.4 34.5 39.0 16.0
O F 23 17.5 14.7 33.3 37.6 14.6
O F 24 17.6 14.0 34.0 38.6 15.5
O F 25 18.0 14.9 34.7 39.5 15.7
O F 26 18.0 16.3 37.9 43.0 17.2
O F 27 18.3 15.7 35.1 40.5 16.1
O F 28 18.4 15.5 35.6 40.0 15.9
O F 29 18.4 15.7 36.5 41.6 16.4
O F 30 18.5 14.6 37.0 42.0 16.6
O F 31 18.6 14.5 34.7 39.4 15.0
O F 32 18.8 15.2 35.8 40.5 16.6
O F 33 18.9 16.7 36.3 41.7 15.3
O F 34 19.1 16.0 37.8 42.3 16.8
O F 35 19.1 16.3 37.9 42.6 17.2
O F 36 19.7 16.7 39.9 43.6 18.2
O F 37 19.9 16.6 39.4 43.9 17.9
O F 38 19.9 17.9 40.1 46.4 17.9
O F 39 20.0 16.7 40.4 45.1 17.7
O F 40 20.1 17.2 39.8 44.1 18.6
O F 41 20.3 16.0 39.4 44.1 18.0
O F 42 20.5 17.5 40.0 45.5 19.2
O F 43 20.6 17.5 41.5 46.2 19.2
O F 44 20.9 16.5 39.9 44.7 17.5
O F 45 21.3 18.4 43.8 48.4 20.0
O F 46 21.4 18.0 41.2 46.2 18.7
O F 47 21.7 17.1 41.7 47.2 19.6
O F 48 21.9 17.2 42.6 47.4 19.5
O F 49 22.5 17.2 43.0 48.7 19.8
O F 50 23.1 20.2 46.2 52.5 21.1
