Field	Time	EricAutoLabel:C7:X	EricAutoLabel:C7:Y	EricAutoLabel:C7:Z	EricAutoLabel:CLAV:X	EricAutoLabel:CLAV:Y	EricAutoLabel:CLAV:Z	EricAutoLabel:LANK:X	EricAutoLabel:LANK:Y	EricAutoLabel:LANK:Z	EricAutoLabel:LBHD:X	EricAutoLabel:LBHD:Y	EricAutoLabel:LBHD:Z	EricAutoLabel:LBWT:X	EricAutoLabel:LBWT:Y	EricAutoLabel:LBWT:Z	EricAutoLabel:LELB:X	EricAutoLabel:LELB:Y	EricAutoLabel:LELB:Z	EricAutoLabel:LFHD:X	EricAutoLabel:LFHD:Y	EricAutoLabel:LFHD:Z	EricAutoLabel:LFIN:X	EricAutoLabel:LFIN:Y	EricAutoLabel:LFIN:Z	EricAutoLabel:LFRM:X	EricAutoLabel:LFRM:Y	EricAutoLabel:LFRM:Z	EricAutoLabel:LFWT:X	EricAutoLabel:LFWT:Y	EricAutoLabel:LFWT:Z	EricAutoLabel:LHEE:X	EricAutoLabel:LHEE:Y	EricAutoLabel:LHEE:Z	EricAutoLabel:LKNE:X	EricAutoLabel:LKNE:Y	EricAutoLabel:LKNE:Z	EricAutoLabel:LMT5:X	EricAutoLabel:LMT5:Y	EricAutoLabel:LMT5:Z	EricAutoLabel:LSHN:X	EricAutoLabel:LSHN:Y	EricAutoLabel:LSHN:Z	EricAutoLabel:LSHO:X	EricAutoLabel:LSHO:Y	EricAutoLabel:LSHO:Z	EricAutoLabel:LTHI:X	EricAutoLabel:LTHI:Y	EricAutoLabel:LTHI:Z	EricAutoLabel:LTOE:X	EricAutoLabel:LTOE:Y	EricAutoLabel:LTOE:Z	EricAutoLabel:LUPA:X	EricAutoLabel:LUPA:Y	EricAutoLabel:LUPA:Z	EricAutoLabel:LWRA:X	EricAutoLabel:LWRA:Y	EricAutoLabel:LWRA:Z	EricAutoLabel:LWRB:X	EricAutoLabel:LWRB:Y	EricAutoLabel:LWRB:Z	EricAutoLabel:RANK:X	EricAutoLabel:RANK:Y	EricAutoLabel:RANK:Z	EricAutoLabel:RBAC:X	EricAutoLabel:RBAC:Y	EricAutoLabel:RBAC:Z	EricAutoLabel:RBHD:X	EricAutoLabel:RBHD:Y	EricAutoLabel:RBHD:Z	EricAutoLabel:RBWT:X	EricAutoLabel:RBWT:Y	EricAutoLabel:RBWT:Z	EricAutoLabel:RELB:X	EricAutoLabel:RELB:Y	EricAutoLabel:RELB:Z	EricAutoLabel:RFHD:X	EricAutoLabel:RFHD:Y	EricAutoLabel:RFHD:Z	EricAutoLabel:RFIN:X	EricAutoLabel:RFIN:Y	EricAutoLabel:RFIN:Z	EricAutoLabel:RFRM:X	EricAutoLabel:RFRM:Y	EricAutoLabel:RFRM:Z	EricAutoLabel:RFWT:X	EricAutoLabel:RFWT:Y	EricAutoLabel:RFWT:Z	EricAutoLabel:RHEE:X	EricAutoLabel:RHEE:Y	EricAutoLabel:RHEE:Z	EricAutoLabel:RKNE:X	EricAutoLabel:RKNE:Y	EricAutoLabel:RKNE:Z	EricAutoLabel:RMT5:X	EricAutoLabel:RMT5:Y	EricAutoLabel:RMT5:Z	EricAutoLabel:RSHN:X	EricAutoLabel:RSHN:Y	EricAutoLabel:RSHN:Z	EricAutoLabel:RSHO:X	EricAutoLabel:RSHO:Y	EricAutoLabel:RSHO:Z	EricAutoLabel:RTHI:X	EricAutoLabel:RTHI:Y	EricAutoLabel:RTHI:Z	EricAutoLabel:RTOE:X	EricAutoLabel:RTOE:Y	EricAutoLabel:RTOE:Z	EricAutoLabel:RUPA:X	EricAutoLabel:RUPA:Y	EricAutoLabel:RUPA:Z	EricAutoLabel:RWRA:X	EricAutoLabel:RWRA:Y	EricAutoLabel:RWRA:Z	EricAutoLabel:RWRB:X	EricAutoLabel:RWRB:Y	EricAutoLabel:RWRB:Z	EricAutoLabel:STRN:X	EricAutoLabel:STRN:Y	EricAutoLabel:STRN:Z	EricAutoLabel:T10:X	EricAutoLabel:T10:Y	EricAutoLabel:T10:Z
64	0.5250	-1570.8	-1018.8	1316.5	-1410.3	-955.78	1198.6	-2059.7	-1288.8	144.95	-1521.6	-898.16	1418.7	-1781	-1086.2	922.51	-1547.3	-766.78	905.97	-1401.2	-837.22	1460.2	-1247.9	-767.04	969.53	-1426.5	-786.47	890.43	-1663	-980.48	769.92	-2116.2	-1384.1	129.59	-1891.5	-1129.5	404.57	-2023.1	-1253.4	18.077	-1969.8	-1165.6	306.37	-1560.3	-837.31	1270.8	-1775.2	-1006.4	588.47	-1936.5	-1262.2	37.851	-1598.1	-777.31	1094.5	-1332.4	-799.03	1019.2	-1332.9	-766.36	895.1	-1613.7	-1230.8	190.02	-1592.3	-1133.6	1263.6	-1477.6	-1036.2	1429.3	-1686.5	-1245.5	913.18	-1494.9	-1410.8	1233.3	-1325.6	-946.28	1478.7	-1545.8	-1519.3	928.2	-1519.6	-1483.7	1064.8	-1497.2	-1181.6	810.06	-1722.3	-1213.4	173.05	-1403.7	-1148.9	462.95	-1554.7	-1211.8	71.374	-1521.7	-1212.8	316.13	-1420.9	-1124.2	1317.2	-1398.8	-1166.3	593.4	-1498.7	-1133.2	47.271	-1410.7	-1203.3	1306.5	-1490.6	-1436.4	982.86	-1584.5	-1521.6	1019.8	-1423.6	-989.48	1009.2	-1671.6	-1101.8	1170.7
65	0.5333	-1555.5	-1008	1321.6	-1393.4	-947.21	1204.7	-2056.9	-1284.9	151.4	-1505.6	-889.92	1424.9	-1765	-1074	926.76	-1531.1	-751.59	916.23	-1385.2	-829.16	1465.8	-1236.7	-761.18	996.86	-1410.8	-773.74	905.97	-1648.4	-968.43	774.84	-2111.9	-1378	137.23	-1888.2	-1126.5	414.07	-2022.3	-1254.1	17.737	-1967.2	-1163	315.28	-1542.3	-827.8	1279	-1765.1	-1000.3	593.23	-1935.9	-1261.9	38.106	-1580.2	-764.41	1104.3	-1323.6	-793.94	1038.7	-1316.6	-755.92	916.06	-1582.4	-1203.6	182.04	-1577.1	-1121.7	1268.4	-1461.2	-1028.3	1435.5	-1669.6	-1232.8	917	-1484.2	-1399	1247.9	-1309.3	-937.28	1484	-1530.3	-1506.9	942.46	-1507.3	-1471.6	1078.9	-1481	-1167.4	814.9	-1690.1	-1185.8	160.99	-1384.3	-1132.7	468.3	-1518.5	-1178.8	67.215	-1495.6	-1190.7	312.82	-1405.9	-1113.1	1324.5	-1381.2	-1151.1	600.36	-1462.1	-1098.9	49.648	-1396.7	-1191.6	1316.7	-1476.6	-1424.5	997.11	-1572.4	-1508.2	1032.4	-1406.9	-980.22	1015.4	-1655.6	-1089.4	1174.4
66	0.5417	-1539.8	-997.11	1326.7	-1375.8	-938.3	1211.3	-2051.9	-1279.5	158.19	-1489.2	-881.61	1431.2	-1748.5	-1061.4	931	-1515.7	-736.48	926.76	-1368.8	-820.59	1471.8	-1226.9	-755.49	1021.2	-1396.2	-761.18	921.92	-1632.9	-955.78	779.77	-2106.3	-1373.2	146.74	-1883.6	-1122.3	423.92	-2022	-1253.4	20.114	-1963.2	-1159.3	324.79	-1524.1	-817.79	1287	-1753.7	-993.04	598.57	-1935.7	-1262.1	38.021	-1562.6	-751.59	1114.3	-1315.2	-789.02	1056.4	-1301.2	-745.48	935.92	-1550.9	-1176.2	173.98	-1561.5	-1109.6	1273.1	-1444.6	-1019.9	1441.7	-1652.1	-1219.9	921.41	-1472.4	-1386.6	1260.5	-1292.5	-928.71	1489.5	-1514.3	-1493.3	955.27	-1494.4	-1459	1091.3	-1464.8	-1153.6	819.99	-1657.6	-1158	148.77	-1365.6	-1116.8	472.37	-1482	-1145.9	63.396	-1469.7	-1169.2	309	-1390.5	-1101.6	1331.9	-1363.9	-1136.1	606.13	-1425.8	-1064.2	52.194	-1381.7	-1179.3	1326.3	-1461.5	-1411.3	1010.2	-1559.6	-1494.1	1043.1	-1389.8	-969.45	1021.6	-1639.7	-1077.1	1178.8
67	0.5500	-1523.6	-986.17	1331.8	-1358.7	-928.54	1217.8	-2045.1	-1271.7	165.15	-1472.5	-873.12	1437.5	-1731.6	-1048.4	935.33	-1501.4	-721.46	937.37	-1351.9	-811.85	1478.4	-1218.1	-749.3	1043.2	-1381.7	-747.86	936.94	-1616.6	-943.22	784.77	-2098.3	-1367.7	158.19	-1878	-1117.1	434.69	-2023.2	-1251.8	24.102	-1957.9	-1154.4	334.55	-1506	-807.77	1295.1	-1741	-984.38	604.77	-1936.6	-1261.5	37.681	-1545.1	-738.44	1124.6	-1306.5	-783.84	1072.1	-1287	-735.89	954.34	-1519.3	-1148.7	165.41	-1545.5	-1097	1278.3	-1428	-1011.3	1447.3	-1634.6	-1206.7	925.57	-1460.2	-1374.1	1271.3	-1275.2	-920.56	1494.9	-1497.6	-1478.9	965.8	-1481.1	-1445.4	1101.8	-1448.5	-1139.7	824.24	-1624.7	-1130.5	136.04	-1348	-1101.2	475.77	-1445.5	-1112.7	59.917	-1444.3	-1147.9	304.51	-1375.3	-1090	1339.2	-1347.4	-1122.3	611.47	-1389.8	-1030.4	54.4	-1366.1	-1166.8	1334.9	-1446	-1397.8	1021.8	-1546	-1479.2	1052.1	-1371.7	-960.2	1028.4	-1623.3	-1064.6	1183.8
68	0.5583	-1507.2	-975.05	1337.1	-1341.5	-918.19	1224	-2037.7	-1263.3	172.37	-1455.5	-864.21	1443.6	-1713.8	-1035.4	940	-1487.6	-706.61	948.14	-1334.8	-803.36	1484.9	-1209.9	-743.53	1062.8	-1368	-735.13	949.93	-1599.9	-930.58	789.53	-2087.8	-1359.7	169.4	-1871.4	-1111	445.64	-2023.3	-1251	25.715	-1951.5	-1148.7	344.56	-1488.1	-797.93	1303.7	-1727.7	-975.22	611.3	-1936.6	-1260.5	38.021	-1527.9	-725.62	1134.7	-1298.1	-777.81	1086.1	-1273.4	-728.17	970.04	-1487.6	-1121.9	156.84	-1528.9	-1084.4	1283.9	-1410.8	-1002.3	1452.6	-1617.2	-1193.9	929.64	-1447.9	-1361.3	1280.7	-1258.3	-912.5	1500.3	-1480.4	-1464	974.71	-1467.4	-1431.6	1110.4	-1431.7	-1125.9	827.97	-1591.4	-1102.8	123.65	-1331.8	-1086.6	478.57	-1409.1	-1080	56.522	-1419.3	-1126.7	299.5	-1359.6	-1078.5	1346.2	-1331.5	-1109.1	615.97	-1353.9	-998.13	57.71	-1350.4	-1154.5	1342.9	-1430.2	-1383.8	1032	-1531.4	-1464.1	1058.7	-1354.6	-947.97	1034.6	-1606.6	-1052.1	1189.1
69	0.5667	-1490.5	-964.18	1342.8	-1324.1	-908	1230	-2030	-1253.8	179.16	-1438.2	-855.21	1449.5	-1695.7	-1022.6	944.75	-1474.7	-692.27	958.5	-1317.6	-794.87	1491	-1201.2	-737.67	1078.5	-1355.8	-725.71	960.62	-1582.4	-917.68	794.11	-2075.9	-1349.4	179.92	-1863.9	-1104.2	456.5	-2021	-1250.4	25.715	-1943.9	-1142.7	355.68	-1469.9	-788.17	1311.9	-1713	-965.29	617.41	-1935.6	-1259.9	38.445	-1511.2	-713.4	1144.9	-1289.2	-771.7	1098.2	-1260.7	-722.14	982.77	-1456.2	-1095.1	149.03	-1511.9	-1071.9	1288.9	-1394	-993.63	1458	-1599.9	-1181.5	934.31	-1435	-1348.5	1287.8	-1241.5	-904.18	1505.8	-1462.3	-1448.4	981.41	-1452.5	-1417.3	1116.9	-1414.5	-1113.6	832.72	-1558	-1073.9	111.86	-1316.6	-1072.8	479.93	-1373.1	-1048.3	53.297	-1395.4	-1106.2	294.24	-1342.9	-1067.2	1352	-1316.5	-1096.3	619.28	-1318.1	-967.49	62.208	-1334.5	-1142.7	1350.2	-1413.1	-1369	1039.8	-1516.1	-1448.3	1063.4	-1337.6	-936.43	1040.6	-1589.6	-1039.7	1194.4
70	0.5750	-1473.5	-953.66	1348.1	-1307	-897.48	1235.8	-2021.7	-1242.9	186.12	-1420.9	-846.05	1455.2	-1677.3	-1009.8	949.5	-1462.4	-678.6	968	-1300	-786.47	1496.5	-1192.3	-731.31	1090.4	-1344.4	-715.1	970.55	-1564.1	-904.61	799.03	-2065	-1338	191.97	-1855.2	-1097.1	467.2	-2018.7	-1248.8	28.855	-1935.5	-1135.9	366.88	-1452.1	-778.49	1319.4	-1697.6	-954.34	623.19	-1934.1	-1258.5	38.106	-1495.7	-701.43	1155	-1279.5	-765.17	1108.4	-1249.4	-713.48	994.14	-1425.3	-1068.1	141.22	-1494.9	-1059.3	1293.6	-1377.2	-984.64	1463	-1581.9	-1168.8	938.55	-1422.3	-1336.1	1293	-1224.3	-895.87	1511.2	-1443.5	-1432.2	985.66	-1436.8	-1402.2	1120.9	-1397.4	-1101.5	837.31	-1525.2	-1044.8	99.55	-1302	-1059.6	479.84	-1338	-1017.9	50.836	-1372.3	-1086.1	288.81	-1326	-1056.2	1357	-1302.1	-1084.3	621.74	-1283	-938.05	66.791	-1318.1	-1131.2	1355.8	-1394.8	-1354	1045.7	-1500	-1432.1	1065.8	-1320	-924.98	1046.1	-1572.3	-1027.1	1199
71	0.5833	-1456.2	-942.88	1353	-1290.2	-886.19	1241	-2012.8	-1231.9	194.18	-1403.7	-836.63	1460.7	-1658.9	-996.69	953.92	-1450.3	-665.28	977.08	-1282.1	-777.73	1501.3	-1182.9	-724.6	1098.7	-1333.1	-702.37	979.29	-1545.5	-891.88	803.78	-2055.6	-1325.8	205.72	-1844.7	-1089.2	477.21	-2017.1	-1246.5	34.541	-1925.9	-1128.1	377.58	-1434.9	-769.16	1326.9	-1682.1	-943.22	628.7	-1931.8	-1255.7	38.021	-1481.1	-689.98	1164.8	-1269	-757.53	1116.3	-1238.2	-703.05	1003.1	-1395.2	-1042.1	133.67	-1477.6	-1046.8	1297.8	-1360	-975.3	1467.2	-1564	-1156.1	942.54	-1409.5	-1323.6	1296.3	-1206.9	-887.12	1515.2	-1423.7	-1415.7	987.44	-1420.8	-1387.5	1122.9	-1380.7	-1089.6	841.04	-1493	-1016.9	87.669	-1288.7	-1047.7	478.99	-1304.1	-989.48	49.139	-1349.9	-1066.3	283.29	-1309.3	-1045.3	1360.8	-1288.2	-1072.6	623.1	-1248.9	-909.78	71.374	-1301.6	-1119.8	1360	-1376.1	-1339	1049.8	-1482.9	-1415.6	1065.8	-1302.2	-913.01	1051.4	-1554.9	-1014.8	1203.1
72	0.5917	-1438.9	-932.19	1357.5	-1274	-874.99	1245.4	-2003.3	-1220.7	202.75	-1386.5	-827.04	1465.3	-1640.3	-983.7	957.65	-1438.9	-652.13	985.49	-1263.7	-769.33	1505.5	-1172.5	-717.56	1103.5	-1322.6	-691.93	985.32	-1527.1	-878.89	808.2	-2045.9	-1312.1	218.79	-1832.1	-1080	485.95	-2014.8	-1242.9	40.991	-1914.7	-1119.3	387.76	-1417.7	-759.4	1334	-1665.7	-931.43	633.45	-1929.2	-1252	38.785	-1467.3	-678.77	1173.9	-1258.1	-749.47	1121.6	-1227.2	-694.47	1008.4	-1366.1	-1017.1	126.88	-1460.2	-1034.6	1301.3	-1342.9	-966.05	1471.2	-1547.1	-1143.9	946.62	-1396.4	-1311.2	1296.8	-1189.7	-878.47	1518.8	-1403.5	-1398.9	986.76	-1404.4	-1373.1	1122.9	-1363.5	-1077.7	844.1	-1461.7	-989.39	76.551	-1276.6	-1036.1	477.04	-1271.1	-963.17	48.205	-1328.9	-1047.4	277.26	-1292.6	-1034.9	1363.7	-1274.5	-1061.2	622.51	-1215.7	-884.15	75.702	-1285.3	-1109	1363.3	-1357	-1323.5	1051.7	-1465.2	-1399.3	1063.6	-1284.6	-900.53	1056.2	-1537.7	-1002.8	1206.9
73	0.6000	-1422	-921.92	1361.4	-1257.7	-863.53	1248.9	-1992.6	-1208.9	211.66	-1369.1	-817.36	1469.5	-1622.3	-970.97	960.62	-1428.2	-639.39	993.12	-1245.6	-760.59	1509.7	-1161.5	-710.51	1104.6	-1313.1	-683.02	989.05	-1509.4	-865.74	812.36	-2035.2	-1297.5	231.69	-1817.2	-1068.7	493.17	-2010.6	-1237.2	48.544	-1901.3	-1108.6	396.25	-1400.5	-749.89	1339.6	-1648.5	-919.54	637.36	-1927.3	-1247.6	39.633	-1453.6	-667.66	1182.5	-1246.5	-741.58	1124.1	-1217.5	-686.33	1010.9	-1339	-993.21	120.68	-1442.9	-1023.2	1303.8	-1326	-957.06	1474.8	-1530	-1131.2	950.1	-1383.1	-1298.9	1295.5	-1172.5	-869.73	1522.2	-1382.4	-1381.8	984.13	-1387.1	-1358.1	1120.8	-1345.8	-1066.1	846.64	-1431.8	-961.55	66.961	-1265	-1024.4	474.16	-1239.4	-938.98	47.696	-1309.5	-1029.2	271.15	-1276.3	-1024.7	1365.8	-1261.4	-1050.2	621.06	-1184.2	-861.66	80.03	-1269.2	-1098.7	1365	-1336.9	-1307.6	1051.4	-1446.7	-1382.7	1059.2	-1267.5	-887.97	1060.2	-1520.2	-990.83	1210
74	0.6083	-1405.2	-911.91	1364.7	-1241.2	-852.16	1252.1	-1980.7	-1196.9	220.49	-1351.6	-807.77	1473.5	-1604.3	-957.65	963.25	-1418.8	-627.09	999.83	-1228.4	-751.42	1513.9	-1150.6	-703.05	1102.5	-1304.8	-674.11	991.34	-1491	-852.75	815.24	-2023.3	-1283.2	245.01	-1800.3	-1055.7	497.92	-2007.2	-1230.9	58.474	-1885.8	-1095.9	402.1	-1383.3	-740.05	1344.2	-1630.2	-907.24	640.16	-1926.5	-1243.1	40.058	-1440	-656.45	1190.2	-1234.6	-733.77	1124.2	-1209	-678.09	1010.7	-1313.8	-970.55	115.08	-1426.3	-1012.3	1305.8	-1308.7	-947.64	1477.5	-1512.7	-1118	952.47	-1369.8	-1287.4	1292.2	-1155.3	-860.48	1525.2	-1360.3	-1364.2	979.04	-1369.1	-1343.4	1116.1	-1328.2	-1054.5	848.93	-1404.1	-934.48	58.983	-1254.2	-1013.6	470.85	-1210.6	-917.25	47.696	-1291.3	-1012	265.47	-1260	-1015	1367.1	-1248.9	-1039.3	619.2	-1154.5	-842.31	84.019	-1253.2	-1089.4	1365.3	-1316	-1291.9	1049.1	-1426.9	-1365.9	1052	-1250.8	-875.24	1063.3	-1502.5	-978.87	1212.3
75	0.6167	-1388.1	-901.81	1367.4	-1224.4	-841.3	1254.9	-1967.7	-1185.4	229.06	-1334.4	-798.27	1477	-1586.4	-943.99	965.12	-1410.8	-615.04	1005.5	-1211.3	-741.92	1517.4	-1139.9	-695.41	1097.1	-1297.9	-666.3	992.36	-1472.5	-840.02	816.85	-2009.7	-1270.1	258.17	-1781.9	-1041.6	500.38	-2003.9	-1224	70.356	-1868.9	-1081.6	406.43	-1366.1	-729.95	1348.2	-1611	-894.17	641.52	-1927.3	-1239.1	41.161	-1426.5	-645.17	1196.7	-1222.9	-725.11	1121.8	-1201.2	-670.2	1007.3	-1291.3	-949.67	110.41	-1409.7	-1001.9	1307.2	-1291.5	-938.13	1479.6	-1495.4	-1105.2	954	-1355.8	-1275.6	1285.9	-1137.7	-851.23	1527.6	-1336.9	-1346.2	971.74	-1350.5	-1328.6	1109	-1311	-1042.7	849.87	-1378.9	-909.78	52.448	-1243.9	-1003.3	466.6	-1184.4	-898.24	47.611	-1275.6	-995.76	259.87	-1243.9	-1005.6	1367.6	-1236.5	-1028.8	616.48	-1126.7	-826.53	86.65	-1237.3	-1080.9	1364.7	-1294.8	-1276.2	1045	-1406.2	-1348.9	1042.6	-1234.1	-862.17	1065.8	-1485.6	-967.32	1215
76	0.6250	-1371	-891.88	1369.4	-1207.8	-830.86	1257.1	-1953.9	-1174.8	237.72	-1317.3	-789.19	1479.8	-1568.4	-930.58	966.48	-1403.5	-603.58	1010.3	-1194.4	-732.33	1519.8	-1128.9	-687.51	1088.4	-1292.1	-658.24	991.34	-1453.6	-826.87	818.21	-1995.7	-1258.4	271.15	-1761.4	-1026.1	500.72	-1998.2	-1215.3	82.746	-1850.4	-1066.7	409.15	-1349.9	-720.02	1351.9	-1590.6	-880.93	641.94	-1928.2	-1234.1	45.659	-1413.5	-634.22	1202.5	-1211.4	-715.69	1116.4	-1194.3	-661.12	1000.9	-1271.7	-930.66	106.51	-1392.9	-992.28	1307.7	-1274.5	-928.79	1481.8	-1478.6	-1092.3	955.27	-1341.5	-1263.8	1277.3	-1119.8	-842.06	1529.5	-1312.6	-1327.3	962.49	-1331.3	-1313.6	1099.4	-1293.6	-1030.9	849.87	-1357	-887.29	47.187	-1233.6	-993.21	462.36	-1161.6	-881.69	47.187	-1261.8	-980.56	254.52	-1228	-996.94	1367.1	-1224	-1018.8	612.66	-1102.2	-813.29	88.517	-1221.2	-1073	1362.4	-1273.1	-1259.7	1039.1	-1384.7	-1331.6	1031.2	-1217.3	-849.1	1067.6	-1469.1	-956.29	1217.1
77	0.6333	-1353.9	-882.63	1370.4	-1191.4	-819.91	1258.5	-1940.3	-1164.2	247.22	-1300	-780.28	1481.6	-1550.7	-917.17	967.15	-1397.1	-592.72	1014.8	-1177.7	-723.24	1521.9	-1118.5	-678.94	1076.4	-1287	-648.31	989.05	-1434.9	-813.46	819.23	-1981.9	-1247.2	284.99	-1739.5	-1009.8	498.85	-1991.5	-1205.3	95.731	-1831	-1051.4	410.51	-1334.5	-710.09	1354.8	-1569.7	-867.43	641.26	-1925.8	-1225.3	54.231	-1400.7	-624.12	1207.5	-1199.7	-706.36	1108.1	-1188.8	-650.68	993.21	-1255.2	-913.69	102.78	-1376.3	-983.28	1307.3	-1257.3	-919.29	1483.2	-1461.6	-1079.4	955.87	-1326.8	-1252.7	1266.6	-1102.3	-832.55	1530.8	-1286.9	-1308.4	951.96	-1311	-1298.1	1088.4	-1276.7	-1019.6	849.53	-1338.5	-867.35	43.198	-1223.3	-983.19	458.46	-1142.7	-867.35	46.253	-1248.8	-967.07	250.36	-1211.7	-988.46	1365.7	-1211.4	-1009	608.42	-1081.6	-800.98	89.111	-1204.8	-1065.5	1358.7	-1250.4	-1242.9	1031.7	-1362.2	-1314.6	1018	-1201	-835.78	1068.7	-1452.3	-945.6	1217.9
78	0.6417	-1336.6	-873.55	1370.9	-1174.8	-808.96	1259.3	-1927.4	-1153.5	257.66	-1282.5	-771.11	1483	-1533.1	-903.59	967.15	-1391.3	-582.36	1018.3	-1160.4	-714.33	1523.1	-1108.6	-670.03	1061.1	-1283.1	-636.76	986	-1416.4	-800.3	819.57	-1968.7	-1235.1	299.24	-1716.4	-992.78	495.97	-1983.4	-1194.5	109.14	-1811.2	-1035.9	411.69	-1318.2	-699.91	1356.4	-1548.5	-853.35	639.31	-1919.5	-1214.9	64.839	-1388.1	-614.27	1211.4	-1188.2	-697.19	1097.8	-1184.8	-640.24	983.62	-1241.5	-899.77	99.38	-1359.5	-974.71	1305.9	-1239.8	-910.04	1484.4	-1444.6	-1066.3	955.78	-1311.5	-1241.9	1253.8	-1084.9	-823.3	1531.8	-1260.9	-1289.7	939.32	-1290.2	-1282.5	1075.6	-1260.7	-1008.1	846.81	-1323.6	-850.89	40.821	-1212.8	-973.35	454.64	-1128.1	-855.04	44.216	-1236.7	-954.76	246.12	-1195.2	-980.05	1363	-1198.1	-999.49	604	-1065.4	-790.12	87.329	-1188.7	-1058.4	1353.6	-1227.2	-1226.5	1022.1	-1338.8	-1297.7	1002.9	-1184.5	-822.37	1069.4	-1435.5	-934.9	1218
79	0.6500	-1319.4	-864.21	1370.8	-1158.4	-798.27	1259.4	-1913.6	-1141.6	268.18	-1265.2	-762.2	1483.9	-1515.5	-890.26	966.22	-1385.7	-572.43	1021.3	-1142.8	-705.59	1523.6	-1100	-660.78	1042.4	-1280.6	-625.39	981.84	-1397.6	-787.49	819.23	-1954.6	-1222.5	312.57	-1692.3	-975.13	492.15	-1973.6	-1183.4	122.21	-1790.4	-1019.9	412.97	-1301.2	-689.04	1357.3	-1526.4	-839.09	636.42	-1911	-1205.5	76.89	-1375.8	-604.51	1215	-1176.9	-688.53	1085.9	-1181.7	-629.3	971.74	-1231	-888.31	96.58	-1342.8	-966.31	1303.7	-1221.8	-901.13	1484.8	-1427.9	-1053	955.19	-1294.9	-1230.5	1239	-1067.7	-814.22	1532.3	-1234.7	-1270.6	925.23	-1268.8	-1266.8	1061	-1244.7	-996.52	842.31	-1313.5	-838.16	39.633	-1201.6	-963.25	450.56	-1117.7	-844.44	40.058	-1226.2	-943.9	242.3	-1178.9	-972.16	1359.5	-1184.1	-990.32	599.34	-1053.4	-779.77	82.237	-1172.5	-1051.7	1347.3	-1204	-1209.5	1010.6	-1314.6	-1280.2	986.17	-1168.1	-809.72	1070.1	-1418.9	-924.47	1217.5
80	0.6583	-1302.5	-855.21	1369.9	-1142.3	-787.66	1259.4	-1898.5	-1128.4	278.28	-1247.7	-753.71	1484.3	-1498.2	-877.03	964.44	-1380.7	-563.35	1024.1	-1125.7	-696.77	1524.1	-1092.7	-650.51	1021.1	-1278.5	-614.78	976.66	-1379.3	-774.67	818.47	-1938.9	-1209	325.21	-1667.3	-957.06	487.48	-1962.2	-1172.3	135.36	-1768.8	-1002.5	413.82	-1284.5	-678.18	1357.6	-1503.4	-825.34	633.03	-1901	-1196.2	89.366	-1363.8	-594.58	1217.7	-1166.3	-679.03	1071.5	-1180.6	-617.84	958.16	-1223.6	-879.32	93.609	-1326.2	-958.07	1300.8	-1203.9	-892.73	1484.3	-1411.2	-1040.1	953.75	-1277.9	-1219.2	1222.5	-1050.3	-805.74	1532	-1208.4	-1251.4	910.21	-1246.3	-1250.7	1045	-1226.3	-985.15	840.28	-1307.9	-830.35	38.615	-1190.3	-952.9	447	-1111.3	-836.2	35.22	-1217.1	-934.06	239.67	-1162.7	-964.44	1355.2	-1169.8	-981.33	594.84	-1045.8	-770.09	73.75	-1156.2	-1045.2	1339.6	-1180.7	-1192.6	997.62	-1289.6	-1262.8	968.26	-1151.7	-797.25	1070.1	-1402.5	-913.69	1216.4
81	0.6667	-1285.4	-846.47	1368.4	-1126.1	-777.22	1259.1	-1881.9	-1114.2	288.04	-1230.6	-745.39	1483.8	-1481.3	-863.79	961.89	-1375.5	-554.7	1026.8	-1108.9	-688.28	1523.5	-1086.8	-638.63	997.54	-1276.8	-604.68	970.55	-1360.9	-762.2	817.02	-1921.3	-1194	337.52	-1640.9	-938.55	482.05	-1949.6	-1161.2	148.18	-1745.9	-984.38	414.24	-1267.8	-667.91	1357.2	-1480.6	-811.51	629.21	-1889.8	-1185.5	100.91	-1351.5	-584.91	1219.5	-1156.4	-668.17	1054.5	-1180.9	-606.04	944.24	-1219.7	-873.8	91.572	-1309.7	-949.5	1297.5	-1186.4	-884.75	1483	-1394.8	-1027.6	952.05	-1260.2	-1207.8	1205	-1032.7	-797.25	1530.7	-1181.4	-1231.5	893.91	-1222.9	-1234.2	1027.8	-1206.3	-973.6	839.94	-1306	-827.21	37.851	-1178.3	-942.46	443.94	-1108	-832.38	31.995	-1209.1	-925.57	237.72	-1146.6	-956.8	1349.9	-1155.6	-971.57	590.6	-1043	-763.56	64.839	-1140.1	-1038.6	1330.6	-1156.9	-1175.6	983.7	-1263.8	-1245.1	949.93	-1135.7	-784.18	1069.2	-1386.1	-903.25	1214.4
